,word,phones,phonetic_leaf
3640,disinterested,"['D', 'IH0', 'S', 'IH1', 'N', 'T', 'R', 'IH0', 'S', 'T', 'IH0', 'D']",d
3641,disinterring,"['D', 'IH0', 'S', 'IH0', 'N', 'T', 'ER1', 'IH0', 'NG']",a
3642,dislike,"['D', 'IH0', 'S', 'L', 'AY1', 'K']",d
3643,dismal,"['D', 'IH1', 'Z', 'M', 'AH0', 'L']",a
3644,dismantled,"['D', 'IH0', 'S', 'M', 'AE1', 'N', 'T', 'AH0', 'L', 'D']",d
3645,dismay,"['D', 'IH0', 'S', 'M', 'EY1']",a
3646,dismayed,"['D', 'IH0', 'S', 'M', 'EY1', 'D']",d
3647,dismaying,"['D', 'IH0', 'S', 'M', 'EY1', 'IH0', 'NG']",a
3648,dismembered,"['D', 'IH0', 'S', 'M', 'EH1', 'M', 'B', 'ER0', 'D']",d
3649,dismemberment,"['D', 'IH0', 'S', 'M', 'EH1', 'M', 'B', 'ER0', 'M', 'AH0', 'N', 'T']",d
3650,dismissed,"['D', 'IH0', 'S', 'M', 'IH1', 'S', 'T']",d
3651,disorder,"['D', 'IH0', 'S', 'AO1', 'R', 'D', 'ER0']",a
3652,disordered,"['D', 'IH0', 'S', 'AO1', 'R', 'D', 'ER0', 'D']",d
3653,disorderly,"['D', 'IH0', 'S', 'AO1', 'R', 'D', 'ER0', 'L', 'IY0']",a
3654,disorders,"['D', 'IH0', 'S', 'AO1', 'R', 'D', 'ER0', 'Z']",e
3655,dispatch,"['D', 'IH0', 'S', 'P', 'AE1', 'CH']",d
3656,dispatched,"['D', 'IH0', 'S', 'P', 'AE1', 'CH', 'T']",d
3657,dispatcher,"['D', 'IH0', 'S', 'P', 'AE1', 'CH', 'ER0']",a
3658,dispense,"['D', 'IH0', 'S', 'P', 'EH1', 'N', 'S']",e
3659,dispensed,"['D', 'IH0', 'S', 'P', 'EH1', 'N', 'S', 'T']",d
3660,dispensing,"['D', 'IH0', 'S', 'P', 'EH1', 'N', 'S', 'IH0', 'NG']",a
3661,disperses,"['D', 'IH0', 'S', 'P', 'ER1', 'S', 'AH0', 'Z']",e
3662,display,"['D', 'IH0', 'S', 'P', 'L', 'EY1']",a
3663,displayed,"['D', 'IH0', 'S', 'P', 'L', 'EY1', 'D']",d
3664,displaying,"['D', 'IH0', 'S', 'P', 'L', 'EY1', 'IH0', 'NG']",a
3665,displays,"['D', 'IH0', 'S', 'P', 'L', 'EY1', 'Z']",e
3666,disporting,"['D', 'IH0', 'S', 'P', 'AO1', 'R', 'T', 'IH0', 'NG']",a
3667,disposal,"['D', 'IH0', 'S', 'P', 'OW1', 'Z', 'AH0', 'L']",a
3668,dispose,"['D', 'IH0', 'S', 'P', 'OW1', 'Z']",e
3669,disposed,"['D', 'IH0', 'S', 'P', 'OW1', 'Z', 'D']",d
3670,disposing,"['D', 'IH0', 'S', 'P', 'OW1', 'Z', 'IH0', 'NG']",a
3671,disposition,"['D', 'IH2', 'S', 'P', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N']",d
3672,dispositions,"['D', 'IH2', 'S', 'P', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N', 'Z']",e
3673,disproved,"['D', 'IH0', 'S', 'P', 'R', 'UW1', 'V', 'D']",d
3674,disputants,"['D', 'IH0', 'S', 'P', 'Y', 'UW1', 'T', 'AH0', 'N', 'T', 'S']",e
3675,dispute,"['D', 'IH0', 'S', 'P', 'Y', 'UW1', 'T']",d
3676,disputed,"['D', 'IH0', 'S', 'P', 'Y', 'UW1', 'T', 'IH0', 'D']",d
3677,disputes,"['D', 'IH0', 'S', 'P', 'Y', 'UW1', 'T', 'S']",e
3678,disregard,"['D', 'IH2', 'S', 'R', 'IH0', 'G', 'AA1', 'R', 'D']",d
3679,disregarded,"['D', 'IH2', 'S', 'R', 'IH0', 'G', 'AA1', 'R', 'D', 'IH0', 'D']",d
3680,disreputable,"['D', 'IH0', 'S', 'R', 'EH1', 'P', 'Y', 'AH0', 'T', 'AH0', 'B', 'AH0', 'L']",a
3681,disrepute,"['D', 'IH2', 'S', 'R', 'IH0', 'P', 'Y', 'UW1', 'T']",d
3682,disrobing,"['D', 'IH0', 'S', 'R', 'AA2', 'B', 'IH0', 'NG']",a
3683,disruptive,"['D', 'IH0', 'S', 'R', 'AH1', 'P', 'T', 'IH0', 'V']",d
3684,dissatisfaction,"['D', 'IH2', 'S', 'AE0', 'T', 'IH0', 'S', 'F', 'AE1', 'K', 'SH', 'AH0', 'N']",d
3685,dissatisfied,"['D', 'IH0', 'S', 'AE1', 'T', 'AH0', 'S', 'F', 'AY2', 'D']",d
3686,dissecting,"['D', 'AY0', 'S', 'EH1', 'K', 'T', 'IH0', 'NG']",a
3687,dissection,"['D', 'AY0', 'S', 'EH1', 'K', 'SH', 'AH0', 'N']",d
3688,dissections,"['D', 'AY0', 'S', 'EH1', 'K', 'SH', 'AH0', 'N', 'Z']",e
3689,disseminated,"['D', 'IH0', 'S', 'EH1', 'M', 'AH0', 'N', 'EY2', 'T', 'AH0', 'D']",d
3690,disseminating,"['D', 'IH0', 'S', 'EH1', 'M', 'AH0', 'N', 'EY2', 'T', 'IH0', 'NG']",a
3691,dissemination,"['D', 'IH0', 'S', 'EH2', 'M', 'AH0', 'N', 'EY1', 'SH', 'AH0', 'N']",d
3692,dissenters,"['D', 'IH0', 'S', 'EH1', 'N', 'T', 'ER0', 'Z']",e
3693,dissentients,"['D', 'IH0', 'S', 'EH1', 'N', 'CH', 'AH0', 'N', 'T', 'S']",e
3694,dissenting,"['D', 'IH0', 'S', 'EH1', 'N', 'T', 'IH0', 'NG']",a
3695,dissimilarity,"['D', 'IH2', 'S', 'IH2', 'M', 'AH0', 'L', 'AE1', 'R', 'AH0', 'T', 'IY0']",a
3696,dissimulation,"['D', 'IH2', 'S', 'IH2', 'M', 'Y', 'AH0', 'L', 'EY1', 'SH', 'AH0', 'N']",d
3697,dissipate,"['D', 'IH1', 'S', 'AH0', 'P', 'EY2', 'T']",d
3698,dissipation,"['D', 'IH2', 'S', 'IH0', 'P', 'EY1', 'SH', 'AH0', 'N']",d
3699,dissolute,"['D', 'IH2', 'S', 'AH0', 'L', 'UW1', 'T']",d
3700,dissolution,"['D', 'IH2', 'S', 'AH0', 'L', 'UW1', 'SH', 'AH0', 'N']",d
3701,dissolved,"['D', 'IH0', 'Z', 'AA1', 'L', 'V', 'D']",d
3702,dissolves,"['D', 'IH0', 'Z', 'AA1', 'L', 'V', 'Z']",e
3703,dissuade,"['D', 'IH0', 'S', 'W', 'EY1', 'D']",d
3704,distance,"['D', 'IH1', 'S', 'T', 'AH0', 'N', 'S']",e
3705,distances,"['D', 'IH1', 'S', 'T', 'AH0', 'N', 'S', 'AH0', 'Z']",e
3706,distances,"['D', 'IH1', 'S', 'T', 'AH0', 'N', 'S', 'IH0', 'Z']",e
3707,distant,"['D', 'IH1', 'S', 'T', 'AH0', 'N', 'T']",d
3708,distemper,"['D', 'IH0', 'S', 'T', 'EH1', 'M', 'P', 'ER0']",a
3709,distill,"['D', 'IH0', 'S', 'T', 'IH1', 'L']",a
3710,distinct,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'K', 'T']",d
3711,distinction,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'K', 'SH', 'AH0', 'N']",d
3712,distinctions,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'K', 'SH', 'AH0', 'N', 'Z']",e
3713,distinctive,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'K', 'T', 'IH0', 'V']",d
3714,distinctly,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'K', 'T', 'L', 'IY0']",a
3715,distinguish,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'G', 'W', 'IH0', 'SH']",d
3716,distinguishable,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'G', 'W', 'IH0', 'SH', 'AH0', 'B', 'AH0', 'L']",a
3717,distinguished,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'G', 'W', 'IH0', 'SH', 'T']",d
3718,distinguishing,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'G', 'W', 'IH0', 'SH', 'IH0', 'NG']",a
3719,distorted,"['D', 'IH0', 'S', 'T', 'AO1', 'R', 'T', 'IH0', 'D']",d
3720,distracted,"['D', 'IH0', 'S', 'T', 'R', 'AE1', 'K', 'T', 'AH0', 'D']",d
3721,distracting,"['D', 'IH0', 'S', 'T', 'R', 'AE1', 'K', 'T', 'IH0', 'NG']",a
3722,distress,"['D', 'IH0', 'S', 'T', 'R', 'EH1', 'S']",e
3723,distresses,"['D', 'IH0', 'S', 'T', 'R', 'EH1', 'S', 'IH0', 'Z']",e
3724,distressing,"['D', 'IH0', 'S', 'T', 'R', 'EH1', 'S', 'IH0', 'NG']",a
3725,distributed,"['D', 'IH0', 'S', 'T', 'R', 'IH1', 'B', 'Y', 'AH0', 'T', 'AH0', 'D']",d
3726,distributes,"['D', 'IH0', 'S', 'T', 'R', 'IH1', 'B', 'Y', 'UW0', 'T', 'S']",e
3727,distributing,"['D', 'IH0', 'S', 'T', 'R', 'IH1', 'B', 'Y', 'UW0', 'T', 'IH0', 'NG']",a
3728,distribution,"['D', 'IH2', 'S', 'T', 'R', 'AH0', 'B', 'Y', 'UW1', 'SH', 'AH0', 'N']",d
3729,distributor,"['D', 'IH0', 'S', 'T', 'R', 'IH1', 'B', 'Y', 'AH0', 'T', 'ER0']",a
3730,district,"['D', 'IH1', 'S', 'T', 'R', 'IH0', 'K', 'T']",d
3731,districts,"['D', 'IH1', 'S', 'T', 'R', 'IH0', 'K', 'T', 'S']",e
3732,disturbance,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'AH0', 'N', 'S']",e
3733,disturbances,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'AH0', 'N', 'S', 'IH0', 'Z']",e
3734,disturbances,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'AH0', 'N', 'S', 'AH0', 'Z']",e
3735,disturbed,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'D']",d
3736,disturbing,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'IH0', 'NG']",a
3737,disturbs,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'Z']",e
3738,disuse,"['D', 'IH0', 'S', 'Y', 'UW1', 'S']",e
3739,disused,"['D', 'IH0', 'S', 'Y', 'UW1', 'Z', 'D']",d
3740,ditch,"['D', 'IH1', 'CH']",b
3741,diverse,"['D', 'IH0', 'V', 'ER1', 'S']",e
3742,diverse,"['D', 'AY0', 'V', 'ER1', 'S']",e
3743,diversified,"['D', 'IH0', 'V', 'ER1', 'S', 'AH0', 'F', 'AY2', 'D']",d
3744,diversion,"['D', 'IH0', 'V', 'ER1', 'ZH', 'AH0', 'N']",d
3745,diversions,"['D', 'IH0', 'V', 'ER1', 'ZH', 'AH0', 'N', 'Z']",e
3746,diversity,"['D', 'IH0', 'V', 'ER1', 'S', 'AH0', 'T', 'IY0']",a
3747,diversity,"['D', 'IH0', 'V', 'ER1', 'S', 'IH0', 'T', 'IY0']",a
3748,divert,"['D', 'AY0', 'V', 'ER1', 'T']",d
3749,diverted,"['D', 'AY0', 'V', 'ER1', 'T', 'IH0', 'D']",d
3750,divest,"['D', 'AY0', 'V', 'EH1', 'S', 'T']",d
3751,divide,"['D', 'IH0', 'V', 'AY1', 'D']",d
3752,divided,"['D', 'IH0', 'V', 'AY1', 'D', 'AH0', 'D']",d
3753,dividend,"['D', 'IH1', 'V', 'IH0', 'D', 'EH2', 'N', 'D']",d
3754,dividends,"['D', 'IH1', 'V', 'AH0', 'D', 'EH2', 'N', 'D', 'Z']",e
3755,dividing,"['D', 'IH0', 'V', 'AY1', 'D', 'IH0', 'NG']",a
3756,divine,"['D', 'IH0', 'V', 'AY1', 'N']",d
3757,divinity,"['D', 'IH0', 'V', 'IH1', 'N', 'AH0', 'T', 'IY0']",a
3758,division,"['D', 'IH0', 'V', 'IH1', 'ZH', 'AH0', 'N']",d
3759,divisions,"['D', 'IH0', 'V', 'IH1', 'ZH', 'AH0', 'N', 'Z']",e
3760,divorce,"['D', 'IH0', 'V', 'AO1', 'R', 'S']",e
3761,dixie,"['D', 'IH1', 'K', 'S', 'IY0']",a
3762,dixon,"['D', 'IH1', 'K', 'S', 'AH0', 'N']",d
3763,do,"['D', 'UW1']",h
3764,dobson,"['D', 'AA1', 'B', 'S', 'AH0', 'N']",d
3765,dock,"['D', 'AA1', 'K']",b
3766,docks,"['D', 'AA1', 'K', 'S']",e
3767,doctor,"['D', 'AA1', 'K', 'T', 'ER0']",a
3768,doctor's,"['D', 'AA1', 'K', 'T', 'ER0', 'Z']",e
3769,doctors,"['D', 'AA1', 'K', 'T', 'ER0', 'Z']",e
3770,doctrine,"['D', 'AA1', 'K', 'T', 'R', 'AH0', 'N']",d
3771,document,"['D', 'AA1', 'K', 'Y', 'AH0', 'M', 'EH0', 'N', 'T']",d
3772,documentary,"['D', 'AA2', 'K', 'Y', 'AH0', 'M', 'EH1', 'N', 'T', 'ER0', 'IY0']",a
3773,documents,"['D', 'AA1', 'K', 'Y', 'AH0', 'M', 'AH0', 'N', 'T', 'S']",e
3774,dodd,"['D', 'AA1', 'D']",b
3775,doer,"['D', 'UW1', 'R']",h
3776,doers,"['D', 'UW1', 'ER0', 'Z']",e
3777,does,"['D', 'IH0', 'Z']",b
3778,does,"['D', 'AH1', 'Z']",b
3779,doesn't,"['D', 'AH1', 'Z', 'AH0', 'N', 'T']",d
3780,dog,"['D', 'AO1', 'G']",b
3781,dogma,"['D', 'AA1', 'G', 'M', 'AH0']",a
3782,dogs,"['D', 'AO1', 'G', 'Z']",e
3783,doily,"['D', 'OY1', 'L', 'IY0']",a
3784,doing,"['D', 'UW1', 'IH0', 'NG']",a
3785,doleful,"['D', 'OW1', 'L', 'F', 'AH0', 'L']",a
3786,dollar,"['D', 'AA1', 'L', 'ER0']",a
3787,dollars,"['D', 'AA1', 'L', 'ER0', 'Z']",e
3788,domestic,"['D', 'AH0', 'M', 'EH1', 'S', 'T', 'IH0', 'K']",d
3789,domestication,"['D', 'AH0', 'M', 'EH2', 'S', 'T', 'AH0', 'K', 'EY1', 'SH', 'AH0', 'N']",d
3790,dominant,"['D', 'AA1', 'M', 'AH0', 'N', 'AH0', 'N', 'T']",d
3791,dominates,"['D', 'AA1', 'M', 'AH0', 'N', 'EY2', 'T', 'S']",e
3792,domination,"['D', 'AA2', 'M', 'AH0', 'N', 'EY1', 'SH', 'AH0', 'N']",d
3793,domingo,"['D', 'OW0', 'M', 'IH1', 'NG', 'G', 'OW0']",a
3794,domingo,"['D', 'AH0', 'M', 'IH1', 'NG', 'G', 'OW0']",a
3795,domino,"['D', 'AA1', 'M', 'AH0', 'N', 'OW2']",a
3796,dominoes,"['D', 'AA1', 'M', 'AH0', 'N', 'OW2', 'Z']",e
3797,don't,"['D', 'OW1', 'N']",b
3798,don't,"['D', 'OW1', 'N', 'T']",d
3799,donation,"['D', 'OW0', 'N', 'EY1', 'SH', 'AH0', 'N']",d
3800,donations,"['D', 'OW0', 'N', 'EY1', 'SH', 'AH0', 'N', 'Z']",e
3801,done,"['D', 'AH1', 'N']",b
3802,donellan,"['D', 'OW0', 'N', 'EH1', 'L', 'AH0', 'N']",d
3803,donovan,"['D', 'AA1', 'N', 'AH0', 'V', 'AH0', 'N']",d
3804,doom,"['D', 'UW1', 'M']",b
3805,doomed,"['D', 'UW1', 'M', 'D']",d
3806,door,"['D', 'AO1', 'R']",h
3807,doorkeepers,"['D', 'AO1', 'R', 'K', 'IY2', 'P', 'ER0', 'Z']",e
3808,doors,"['D', 'AO1', 'R', 'Z']",e
3809,doorway,"['D', 'AO1', 'R', 'W', 'EY2']",a
3810,dope,"['D', 'OW1', 'P']",b
3811,dormitories,"['D', 'AO1', 'R', 'M', 'AH0', 'T', 'AO2', 'R', 'IY0', 'Z']",e
3812,dose,"['D', 'OW1', 'S']",b
3813,doses,"['D', 'OW1', 'S', 'IH0', 'Z']",e
3814,dotted,"['D', 'AA1', 'T', 'IH0', 'D']",d
3815,double,"['D', 'AH1', 'B', 'AH0', 'L']",a
3816,doubled,"['D', 'AH1', 'B', 'AH0', 'L', 'D']",d
3817,doubly,"['D', 'AH1', 'B', 'L', 'IY0']",a
3818,doubt,"['D', 'AW1', 'T']",b
3819,doubted,"['D', 'AW1', 'T', 'IH0', 'D']",d
3820,doubtful,"['D', 'AW1', 'T', 'F', 'AH0', 'L']",a
3821,doubtfulness,"['D', 'AW1', 'T', 'F', 'AH0', 'L', 'N', 'AH0', 'S']",e
3822,doubtless,"['D', 'AW1', 'T', 'L', 'AH0', 'S']",e
3823,doubts,"['D', 'AW1', 'T', 'S']",e
3824,dough,"['D', 'OW1']",h
3825,dougherty,"['D', 'OW1', 'ER0', 'T', 'IY0']",a
3826,dove,"['D', 'AH1', 'V']",b
3827,dover,"['D', 'OW1', 'V', 'ER0']",a
3828,dovetail,"['D', 'AH1', 'V', 'T', 'EY2', 'L']",a
3829,down,"['D', 'AW1', 'N']",b
3830,downgrade,"['D', 'AW1', 'N', 'G', 'R', 'EY1', 'D']",d
3831,downstairs,"['D', 'AW1', 'N', 'S', 'T', 'EH1', 'R', 'Z']",e
3832,downtown,"['D', 'AW1', 'N', 'T', 'AW1', 'N']",d
3833,downward,"['D', 'AW1', 'N', 'W', 'ER0', 'D']",d
3834,downwards,"['D', 'AW1', 'N', 'W', 'ER0', 'D', 'Z']",e
3835,dozen,"['D', 'AH1', 'Z', 'AH0', 'N']",d
3836,drab,"['D', 'R', 'AE1', 'B']",d
3837,draft,"['D', 'R', 'AE1', 'F', 'T']",d
3838,drafts,"['D', 'R', 'AE1', 'F', 'T', 'S']",e
3839,dragged,"['D', 'R', 'AE1', 'G', 'D']",d
3840,dragons,"['D', 'R', 'AE1', 'G', 'AH0', 'N', 'Z']",e
3841,drain,"['D', 'R', 'EY1', 'N']",d
3842,drainage,"['D', 'R', 'EY1', 'N', 'IH0', 'JH']",d
3843,draining,"['D', 'R', 'EY1', 'N', 'IH0', 'NG']",a
3844,drains,"['D', 'R', 'EY1', 'N', 'Z']",e
3845,drama,"['D', 'R', 'AA1', 'M', 'AH0']",a
3846,dramatic,"['D', 'R', 'AH0', 'M', 'AE1', 'T', 'IH0', 'K']",d
3847,dramatically,"['D', 'R', 'AH0', 'M', 'AE1', 'T', 'IH0', 'K', 'L', 'IY0']",a
3848,draught,"['D', 'R', 'AE1', 'F', 'T']",d
3849,draw,"['D', 'R', 'AO1']",h
3850,drawer,"['D', 'R', 'AO1', 'R']",a
3851,drawers,"['D', 'R', 'AO1', 'R', 'Z']",e
3852,drawing,"['D', 'R', 'AO1', 'IH0', 'NG']",a
3853,drawings,"['D', 'R', 'AO1', 'IH0', 'NG', 'Z']",e
3854,drawn,"['D', 'R', 'AO1', 'N']",d
3855,dread,"['D', 'R', 'EH1', 'D']",d
3856,dreaded,"['D', 'R', 'EH1', 'D', 'IH0', 'D']",d
3857,dreadful,"['D', 'R', 'EH1', 'D', 'F', 'AH0', 'L']",a
3858,dreadfully,"['D', 'R', 'EH1', 'D', 'F', 'AH0', 'L', 'IY0']",a
3859,dreading,"['D', 'R', 'EH1', 'D', 'IH0', 'NG']",a
3860,dreams,"['D', 'R', 'IY1', 'M', 'Z']",e
3861,dreamy,"['D', 'R', 'IY1', 'M', 'IY0']",a
3862,dresden,"['D', 'R', 'EH1', 'Z', 'D', 'IH0', 'N']",d
3863,dress,"['D', 'R', 'EH1', 'S']",e
3864,dressed,"['D', 'R', 'EH1', 'S', 'T']",d
3865,dresser,"['D', 'R', 'EH1', 'S', 'ER0']",a
3866,dresses,"['D', 'R', 'EH1', 'S', 'IH0', 'Z']",e
3867,dressing,"['D', 'R', 'EH1', 'S', 'IH0', 'NG']",a
3868,drew,"['D', 'R', 'UW1']",h
3869,dried,"['D', 'R', 'AY1', 'D']",d
3870,drifting,"['D', 'R', 'IH1', 'F', 'T', 'IH0', 'NG']",a
3871,drill,"['D', 'R', 'IH1', 'L']",a
3872,drink,"['D', 'R', 'IH1', 'NG', 'K']",d
3873,drinking,"['D', 'R', 'IH1', 'NG', 'K', 'IH0', 'NG']",a
3874,drinks,"['D', 'R', 'IH1', 'NG', 'K', 'S']",e
3875,drive,"['D', 'R', 'AY1', 'V']",d
3876,driven,"['D', 'R', 'IH1', 'V', 'AH0', 'N']",d
3877,driver,"['D', 'R', 'AY1', 'V', 'ER0']",a
3878,driver's,"['D', 'R', 'AY1', 'V', 'ER0', 'Z']",e
3879,driveway,"['D', 'R', 'AY1', 'V', 'W', 'EY2']",a
3880,driving,"['D', 'R', 'AY1', 'V', 'IH0', 'NG']",a
3881,dromedary,"['D', 'R', 'AA1', 'M', 'AH0', 'D', 'EH2', 'R', 'IY0']",a
3882,droops,"['D', 'R', 'UW1', 'P', 'S']",e
3883,drop,"['D', 'R', 'AA1', 'P']",d
3884,dropped,"['D', 'R', 'AA1', 'P', 'T']",d
3885,drops,"['D', 'R', 'AA1', 'P', 'S']",e
3886,drove,"['D', 'R', 'OW1', 'V']",d
3887,drowned,"['D', 'R', 'AW1', 'N', 'D']",d
3888,drowning,"['D', 'R', 'AW1', 'N', 'IH0', 'NG']",a
3889,drug,"['D', 'R', 'AH1', 'G']",d
3890,drugged,"['D', 'R', 'AH1', 'G', 'D']",d
3891,drugs,"['D', 'R', 'AH1', 'G', 'Z']",e
3892,drugstore,"['D', 'R', 'AH1', 'G', 'S', 'T', 'AO2', 'R']",a
3893,drunk,"['D', 'R', 'AH1', 'NG', 'K']",d
3894,drunken,"['D', 'R', 'AH1', 'NG', 'K', 'AH0', 'N']",d
3895,drunkenness,"['D', 'R', 'AH1', 'NG', 'K', 'AH0', 'N', 'N', 'AH0', 'S']",e
3896,drury,"['D', 'R', 'UW1', 'R', 'IY0']",a
3897,dry,"['D', 'R', 'AY1']",h
3898,dryad,"['D', 'R', 'AY1', 'AE0', 'D']",d
3899,du,"['D', 'UW1']",h
3900,dublin,"['D', 'AH1', 'B', 'L', 'IH0', 'N']",d
3901,ducal,"['D', 'UW1', 'K', 'AH0', 'L']",a
3902,duchess,"['D', 'AH1', 'CH', 'AH0', 'S']",e
3903,duck,"['D', 'AH1', 'K']",b
3904,ducked,"['D', 'AH1', 'K', 'T']",d
3905,ducking,"['D', 'AH1', 'K', 'IH0', 'NG']",a
3906,due,"['D', 'UW1']",h
3907,due,"['D', 'Y', 'UW1']",h
3908,dues,"['D', 'UW1', 'Z']",b
3909,duffer,"['D', 'AH1', 'F', 'ER0']",a
3910,dug,"['D', 'AH1', 'G']",b
3911,duke,"['D', 'UW1', 'K']",b
3912,dulany,"['D', 'Y', 'UW0', 'L', 'AO1', 'N', 'IY0']",a
3913,dull,"['D', 'AH1', 'L']",h
3914,duly,"['D', 'UW1', 'L', 'IY0']",a
3915,dumb,"['D', 'AH1', 'M']",b
3916,dumplings,"['D', 'AH1', 'M', 'P', 'L', 'IH0', 'NG', 'Z']",e
3917,dungeon,"['D', 'AH1', 'N', 'JH', 'AH0', 'N']",d
3918,dungeons,"['D', 'AH1', 'N', 'JH', 'AH0', 'N', 'Z']",e
3919,dupe,"['D', 'UW1', 'P']",b
3920,duplicate,"['D', 'UW1', 'P', 'L', 'AH0', 'K', 'EY2', 'T']",d
3921,duplicates,"['D', 'Y', 'UW1', 'P', 'L', 'AH0', 'K', 'EY2', 'T', 'S']",e
3922,duplication,"['D', 'Y', 'UW2', 'P', 'L', 'AH0', 'K', 'EY1', 'SH', 'AH0', 'N']",d
3923,durance,"['D', 'UH1', 'R', 'AH0', 'N', 'S']",e
3924,durham,"['D', 'UH1', 'R', 'AH0', 'M']",d
3925,during,"['D', 'UH1', 'R', 'IH0', 'NG']",a
3926,during,"['D', 'ER1', 'IH0', 'NG']",a
3927,during,"['D', 'Y', 'UH1', 'R', 'IH0', 'NG']",a
3928,dusk,"['D', 'AH1', 'S', 'K']",d
3929,dust,"['D', 'AH1', 'S', 'T']",d
3930,dusted,"['D', 'AH1', 'S', 'T', 'IH0', 'D']",d
3931,duties,"['D', 'UW1', 'T', 'IY0', 'Z']",e
3932,duty,"['D', 'UW1', 'T', 'IY0']",a
3933,duty,"['D', 'Y', 'UW1', 'T', 'IY0']",a
3934,dwarfed,"['D', 'W', 'AO1', 'R', 'F', 'T']",d
3935,dwell,"['D', 'W', 'EH1', 'L']",a
3936,dwelling,"['D', 'W', 'EH1', 'L', 'IH0', 'NG']",a
3937,dwellings,"['D', 'W', 'EH1', 'L', 'IH0', 'NG', 'Z']",e
3938,dwelt,"['D', 'W', 'EH1', 'L', 'T']",d
3939,dwindle,"['D', 'W', 'IH1', 'N', 'D', 'AH0', 'L']",a
3940,dwindles,"['D', 'W', 'IH1', 'N', 'D', 'AH0', 'L', 'Z']",e
3941,dwyer,"['D', 'W', 'AY1', 'ER0']",a
3942,dwyer's,"['D', 'W', 'AY1', 'ER0', 'Z']",e
3943,dye,"['D', 'AY1']",h
3944,dyed,"['D', 'AY1', 'D']",b
3945,dyeing,"['D', 'AY1', 'IH0', 'NG']",a
3946,dying,"['D', 'AY1', 'IH0', 'NG']",a
3947,dyspepsia,"['D', 'IH0', 'S', 'P', 'EH2', 'P', 'S', 'IY0', 'AH0']",a
3948,e,['IY1'],g
3949,each,"['IY1', 'CH']",i
3950,eager,"['IY1', 'G', 'ER0']",g
3951,eagerly,"['IY1', 'G', 'ER0', 'L', 'IY0']",a
3952,ear,"['IY1', 'R']",g
3953,earle,"['ER1', 'L']",g
3954,earlier,"['ER1', 'L', 'IY0', 'ER0']",a
3955,earliest,"['ER1', 'L', 'IY0', 'AH0', 'S', 'T']",d
3956,early,"['ER1', 'L', 'IY0']",g
3957,earned,"['ER1', 'N', 'D']",i
3958,earnest,"['ER1', 'N', 'IH0', 'S', 'T']",d
3959,earnestly,"['ER1', 'N', 'AH0', 'S', 'T', 'L', 'IY0']",a
3960,earnestness,"['ER1', 'N', 'AH0', 'S', 'T', 'N', 'AH0', 'S']",e
3961,earning,"['ER1', 'N', 'IH0', 'NG']",a
3962,earnings,"['ER1', 'N', 'IH0', 'NG', 'Z']",e
3963,ears,"['IY1', 'R', 'Z']",j
3964,earth,"['ER1', 'TH']",i
3965,ease,"['IY1', 'Z']",j
3966,easement,"['IY1', 'Z', 'M', 'AH0', 'N', 'T']",d
3967,easier,"['IY1', 'Z', 'IY0', 'ER0']",a
3968,easily,"['IY1', 'Z', 'AH0', 'L', 'IY0']",a
3969,east,"['IY1', 'S', 'T']",i
3970,eastern,"['IY1', 'S', 'T', 'ER0', 'N']",d
3971,easternmost,"['IY1', 'S', 'T', 'ER0', 'N', 'M', 'OW2', 'S', 'T']",d
3972,easy,"['IY1', 'Z', 'IY0']",g
3973,eat,"['IY1', 'T']",i
3974,eaten,"['IY1', 'T', 'AH0', 'N']",d
3975,eating,"['IY1', 'T', 'IH0', 'NG']",a
3976,eats,"['IY1', 'T', 'S']",j
3977,ebullitions,"['IH0', 'B', 'UH1', 'L', 'IH1', 'SH', 'AH0', 'N', 'Z']",e
3978,eccentric,"['IH0', 'K', 'S', 'EH1', 'N', 'T', 'R', 'IH0', 'K']",d
3979,ecclesiastical,"['IH0', 'K', 'L', 'IY2', 'Z', 'IY0', 'AE1', 'S', 'T', 'IH0', 'K', 'AH0', 'L']",a
3980,economic,"['IY2', 'K', 'AH0', 'N', 'AA1', 'M', 'IH0', 'K']",d
3981,economic,"['EH2', 'K', 'AH0', 'N', 'AA1', 'M', 'IH0', 'K']",d
3982,economy,"['IH0', 'K', 'AA1', 'N', 'AH0', 'M', 'IY0']",a
3983,eddie,"['EH1', 'D', 'IY0']",g
